"name","external_donor_name","donor_id","donor_name"
"","572725",1089762375,"Vip-IRES-Cre;Sst-IRES-FlpO;Ai193-hyg-572725"
"","568503",1089758528,"Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-568503"
"","567231",1089758454,"Vip-IRES-Cre;Ai148-567231"
"","568761",1089757648,"Snap25-IRES2-Cre;Ai14-568761"
"","568462",1089757638,"Snap25-IRES2-Cre;Ai14-568462"
"","568459",1089757629,"Snap25-IRES2-Cre;Ai14-568459"
"","568465",1089757620,"Snap25-IRES2-Cre;Ai14-568465"
"","568440",1089757422,"Gad2-IRES-Cre;Ai14-568440"
"","570668",1089757358,"C57BL6J-570668"
"","573991",1089757237,"C57BL6J-573991"
"","568278",1089756803,"Slc32a1-IRES-Cre;Ai14-568278"
"","564835",1089753923,"Sst-IRES-Cre-564835"
"","562140",1089520458,"Esr2-IRES2-Cre-562140"
"C57BL/6J","52140",1089520428,"BL/6-254"
"","562132",1089520303,"Esr2-IRES2-Cre-562132"
"","569955",1089518832,"Esr2-IRES2-Cre;Ai14-569955"
"","569575",1089518823,"Ctgf-T2A-dgCre;Ai14-569575"
"","569373",1089518810,"Th-P2A-FlpO;Ai65-569373"
"","573982",1089518492,"CMV-Cre;Scn1a-A1783V-573982"
"","573981",1089518481,"CMV-Cre;Scn1a-A1783V-573981"
"","573980",1089518470,"CMV-Cre;Scn1a-A1783V-573980"
"","573979",1089518460,"CMV-Cre;Scn1a-A1783V-573979"
"","569348",1089518451,"Rbp4-Cre_KL100;Ai14-569348"
"","569757",1089318381,"Vipr2-IRES2-Cre-neo-569757"
"","M21.29.315",1089237416,"M21.29.315"
"","568024",1089002099,"C57BL6J-568024"
"","568625",1088997100,"Sst-IRES-Cre;Ai148-568625"
"","568005",1088824980,"Sst-IRES-Cre;Ai148-568005"
"","567585",1088824709,"Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-567585"
"","567534",1088824588,"Vip-IRES-Cre;Ai148-567534"
"","571317",1088824277,"Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-571317"
"","571316",1088824182,"Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-571316"
"","571328",1088823937,"Vip-IRES-Cre;Ai148-571328"
"","564073",1088770707,"C57BL6J-564073"
"","567903",1088767008,"Gad2-IRES-Cre;Slc32a1-T2A-FlpO;Ai195-hyg-567903"
"","573621",1088742440,"Snap25-IRES2-Cre;Ai14-573621"
"","574904",1088742150,"Snap25-IRES2-Cre;Ai14-574904"
"","574902",1088742147,"Snap25-IRES2-Cre;Ai14-574902"
"","574028",1088742138,"Snap25-IRES2-Cre;Ai14-574028"
"","568762",1088742132,"Snap25-IRES2-Cre;Ai14-568762"
"","567040",1088741704,"Gad2-IRES-Cre;Ai14-567040"
"","568616",1088263697,"C57BL6J-568616"
"","568615",1088263690,"C57BL6J-568615"
"","565242",1088261302,"Slc17a7-IRES2-Cre;Ai32-565242"
"","565233",1088261279,"Slc17a7-IRES2-Cre;Ai32-565233"
"","564396",1088254582,"C57BL6J-564396"
"","564395",1088254574,"C57BL6J-564395"
"","568022",1088250937,"C57BL6J-568022"
"","568028",1088247937,"C57BL6J-568028"
"","570902",1088184323,"Sst-IRES-Cre;Pvalb-T2A-FlpO;Ai193-hyg-570902"
"","570362",1088184314,"Pvalb-IRES-Cre;Ai14-570362"
"","570361",1088184303,"Pvalb-IRES-Cre;Ai14-570361"
"","570690",1088184293,"Sst-IRES-Cre;Pvalb-T2A-FlpO;Ai193-hyg-570690"
"","561986",1088184019,"Sst-IRES-Cre-561986"
"","568373",1087900588,"Slc6a4-Cre_ET33-568373"
"","568450",1087710035,"Slc32a1-IRES-Cre;Ai14-568450"
"","569347",1087710026,"Rbp4-Cre_KL100;Ai14-569347"
"","569045",1087710017,"Rorb-IRES2-Cre-neo;Ai14-569045"
"","568770",1087710008,"Slc17a6-IRES-Cre;Ai14-568770"
"","568841",1087709999,"Slc17a8-iCre;Ai14-568841"
