donor_id,donor_name,biological_sex,age,full_genotype
411120,Npr3-IRES2-Cre;Sst-IRES-FlpO;Ai65-411120,M,P60,Npr3-IRES2-Cre/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
412557,Sst-IRES-Cre;Ai14-412557,M,P53,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
412161,Sst-IRES-Cre;Ai14-412161,M,P57,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
412356,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-412356,F,P56,Nos1-CreERT2/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
412517,Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-412517,F,P55,Ndnf-IRES2-dgCre/wt;Slc32a1-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt
412558,Sst-IRES-Cre;Ai14-412558,M,P56,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
412162,Sst-IRES-Cre;Ai14-412162,M,P58,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
412555,Sst-IRES-Cre;Ai14-412555,M,P57,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
412518,Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-412518,F,P56,Ndnf-IRES2-dgCre/wt;Slc32a1-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt
412560,Sst-IRES-Cre;Ai14-412560,F,P57,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
412858,Sst-IRES-Cre;Ai14-412858,M,P55,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
412165,Sst-IRES-Cre;Ai14-412165,F,P59,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
412562,Sst-IRES-Cre;Ai14-412562,F,P58,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
412556,Sst-IRES-Cre;Ai14-412556,M,P58,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
412526,Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-412526,M,P57,Ndnf-IRES2-dgCre/wt;Slc32a1-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt
412554,Sst-IRES-Cre;Ai14-412554,M,P60,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
412860,Sst-IRES-Cre;Ai14-412860,F,P58,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
412856,Sst-IRES-Cre;Ai14-412856,M,P58,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
415614,Sst-IRES-Cre;Ai167-415614,M,P45,Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt
413064,Vip-IRES-Cre;Npy-IRES2-FlpO;Ai65-413064,M,P60,Vip-IRES-Cre/wt;Npy-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt
413266,Pvalb-IRES-Cre;Ai14-413266,M,P59,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
414132,Sst-IRES-Cre;Ai14-414132,F,P55,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
415615,Sst-IRES-Cre;Ai167-415615,M,P46,Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt
413068,Vip-IRES-Cre;Npy-IRES2-FlpO;Ai65-413068,F,P61,Vip-IRES-Cre/wt;Npy-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt
413503,Chrna2-Cre_OE25;Vip-IRES-FlpO;Ai65-413503,M,P58,Chrna2-Cre_OE25/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
413268,Pvalb-IRES-Cre;Ai14-413268,F,P61,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
413072,Vip-IRES-Cre;Npy-IRES2-FlpO;Ai65-413072,F,P62,Vip-IRES-Cre/wt;Npy-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt
413970,Pvalb-IRES-Cre;Ai14-413970,M,P56,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
413509,Chrna2-Cre_OE25;Vip-IRES-FlpO;Ai65-413509,F,P59,Chrna2-Cre_OE25/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
415616,Sst-IRES-Cre;Ai167-415616,F,P48,Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt
413971,Pvalb-IRES-Cre;Ai14-413971,M,P57,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
415617,Sst-IRES-Cre;Ai167-415617,F,P49,Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt
415181,Vipr2-IRES2-Cre;Pvalb-T2A-FlpO;Ai65-415181,F,P59,Vipr2-IRES2-Cre/wt;Pvalb-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt
413974,Pvalb-IRES-Cre;Ai14-413974,F,P58,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
415618,Sst-IRES-Cre;Ai167-415618,F,P52,Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt
415022,Cck-IRES-Cre;Vip-IRES-FlpO;Ai65-415022,M,P55,Cck-IRES-Cre/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
418986,Tlx3-Cre_PL56;Ai140;Sst-IRES-FlpO;Ai65F-418986,F,P34,Tlx3-Cre_PL56/wt;Sst-IRES-FlpO/wt;Ai65F/wt
415064,Vip-IRES-Cre;Ai14-415064,M,P55,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
416171,Sst-IRES-Cre;Ai167-416171,M,P51,Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt
415421,Cck-IRES-Cre;Vip-IRES-FlpO;Ai65-415421,M,P54,Cck-IRES-Cre/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
415065,Vip-IRES-Cre;Ai14-415065,M,P56,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
